player_id,web_name,team,position,predicted_points,actual_points,error,expected_minutes,actual_minutes
11,Mosquera,ARS,DEF,1.69,0,1.69,33.8,0
337,Aaronson,LEE,MID,1.69,1,0.69,45.3,18
91,Pinnock,COV,DEF,1.68,2,-0.32,44.9,90
506,Udogie,TOT,DEF,1.68,0,1.68,35.3,0
105,Anthony,BRE,MID,1.67,1,0.67,44.9,59
190,Tchaouna,COV,MID,1.66,0,1.66,49.0,0
519,Gallagher,TOT,MID,1.66,0,1.66,48.0,0
144,Gusto,CHE,DEF,1.64,1,0.64,59.2,77
167,Delap,NFO,FWD,1.61,5,-3.39,41.0,90
247,Hackney,EVE,MID,1.6,1,0.6,33.3,15
371,Gravenberch,LIV,MID,1.6,1,0.6,35.2,59
155,Enzo,MCI,MID,1.59,2,-0.41,39.8,81
309,Núñez,IPS,MID,1.52,0,1.52,37.2,0
239,Garner,EVE,MID,1.5,4,-2.5,42.5,90
209,Johnson,EVE,MID,1.49,3,-1.51,40.0,74
522,Gray,TOT,MID,1.42,3,-1.58,40.4,84
525,Fernandes,TOT,MID,1.41,3,-1.59,42.0,62
260,Wilson,LEE,MID,1.37,1,0.37,36.7,18
194,Thomas-Asante,COV,FWD,1.36,1,0.36,34.3,17
331,Gudmundsson,LEE,DEF,1.36,6,-4.64,41.1,72
501,Danso,SUN,DEF,1.36,1,0.36,41.1,90
93,Schuster,BRE,DEF,1.35,3,-1.65,33.3,90
34,Pau,AVL,DEF,1.24,1,0.24,45.1,24
456,J.Ramsey,NEW,MID,1.18,0,1.18,22.5,0
102,Yarmoliuk,BRE,MID,1.16,4,-2.84,32.4,59
403,Sávio,TOT,MID,1.15,3,-1.85,27.4,90
634,Fernandez-Pardo,NEW,FWD,1.13,1,0.13,27.0,57
149,Colwill,CHE,DEF,1.08,1,0.08,42.8,90
357,Frimpong,LIV,DEF,1.08,1,0.08,42.5,18
642,Thomas,HUL,MID,1.07,1,0.07,27.0,30
387,O'Reilly,MCI,DEF,1.04,1,0.04,31.5,8
